<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.14	01:00:00	2176.282	2176.995	2173.191	2174.737	4097	0	199
2024.03.14	02:00:00	2174.705	2175.426	2172.551	2172.741	3237	0	199
2024.03.14	03:00:00	2172.695	2174.015	2171.099	2172.264	2911	0	199
2024.03.14	04:00:00	2172.254	2172.513	2170.973	2171.767	2217	0	200
2024.03.14	05:00:00	2171.768	2171.991	2168.640	2168.822	3203	0	199
2024.03.14	06:00:00	2168.868	2170.089	2167.419	2168.701	3848	0	199
2024.03.14	07:00:00	2168.703	2169.038	2167.472	2168.634	4003	0	199
2024.03.14	08:00:00	2168.580	2170.018	2168.116	2169.542	4080	0	199
2024.03.14	09:00:00	2169.549	2171.959	2167.892	2169.990	3973	0	199
2024.03.14	10:00:00	2170.050	2170.838	2168.000	2170.531	3794	0	199
2024.03.14	11:00:00	2170.559	2170.784	2167.100	2168.455	3724	0	199
2024.03.14	12:00:00	2168.496	2170.391	2160.356	2162.776	12128	0	199
2024.03.14	13:00:00	2162.712	2167.243	2158.545	2162.447	12551	0	199
2024.03.14	14:00:00	2162.387	2163.817	2157.688	2161.989	8019	0	199
2024.03.14	15:00:00	2161.942	2162.214	2152.649	2157.190	8578	0	199
2024.03.14	16:00:00	2157.189	2160.241	2156.664	2158.735	5389	0	199
2024.03.14	17:00:00	2158.726	2164.995	2158.019	2160.219	5089	0	199
2024.03.14	18:00:00	2160.262	2162.333	2160.186	2161.373	3739	0	199
2024.03.14	19:00:00	2161.418	2163.469	2160.631	2163.449	3400	0	200
2024.03.14	20:00:00	2163.514	2163.860	2161.699	2162.232	1956	0	199
2024.03.14	22:00:00	2161.673	2162.249	2161.144	2161.214	1142	0	599
2024.03.14	23:00:00	2161.171	2162.116	2160.825	2161.645	1886	0	200
2024.03.15	00:00:00	2161.698	2163.121	2160.588	2162.717	2865	0	199
2024.03.15	01:00:00	2162.708	2165.909	2162.315	2162.566	3805	0	199
2024.03.15	02:00:00	2162.607	2162.961	2161.571	2162.341	2908	0	199
2024.03.15	03:00:00	2162.332	2164.841	2161.726	2164.530	2819	0	199
2024.03.15	04:00:00	2164.532	2165.450	2163.813	2164.443	2290	0	200
2024.03.15	05:00:00	2164.500	2169.175	2163.475	2169.047	3729	0	199
2024.03.15	06:00:00	2169.038	2170.165	2167.137	2168.795	4315	0	199
2024.03.15	07:00:00	2168.831	2169.945	2166.605	2167.017	4344	0	199
2024.03.15	08:00:00	2167.055	2169.363	2165.260	2168.966	4779	0	199
2024.03.15	09:00:00	2168.968	2172.712	2167.481	2171.811	4195	0	199
2024.03.15	10:00:00	2171.808	2172.636	2168.582	2169.236	4182	0	199
2024.03.15	11:00:00	2169.290	2169.321	2166.119	2166.909	4103	0	199
2024.03.15	12:00:00	2166.896	2167.293	2157.509	2161.705	8076	0	199
2024.03.15	13:00:00	2161.752	2163.288	2156.437	2160.126	8378	0	199
2024.03.15	14:00:00	2160.063	2166.682	2159.142	2164.229	9061	0	199
2024.03.15	15:00:00	2164.236	2164.266	2158.075	2159.990	6178	0	199
2024.03.15	16:00:00	2159.941	2163.451	2157.823	2158.805	5494	0	199
2024.03.15	17:00:00	2158.796	2160.556	2155.092	2156.766	5136	0	199
2024.03.15	18:00:00	2156.810	2160.261	2156.460	2159.280	3587	0	200
2024.03.15	19:00:00	2159.276	2159.450	2156.377	2156.917	3066	0	199
2024.03.15	20:00:00	2156.949	2158.257	2155.400	2155.698	1941	0	199
2024.03.17	22:00:00	2153.279	2156.042	2153.080	2154.927	2453	0	199
2024.03.17	23:00:00	2154.892	2156.533	2153.828	2156.517	2552	0	199
2024.03.18	00:00:00	2156.473	2157.483	2154.937	2156.589	3137	0	200
2024.03.18	01:00:00	2156.550	2156.550	2150.066	2152.269	4942	0	199
2024.03.18	02:00:00	2152.294	2153.415	2146.500	2147.822	4255	0	199
2024.03.18	03:00:00	2147.789	2148.091	2146.062	2146.768	3330	0	199
2024.03.18	04:00:00	2146.768	2148.262	2146.070	2147.330	2640	0	199
2024.03.18	05:00:00	2147.334	2148.283	2146.094	2146.998	3285	0	199
2024.03.18	06:00:00	2146.988	2149.088	2146.671	2148.064	3154	0	199
2024.03.18	07:00:00	2148.020	2152.162	2147.258	2152.162	4027	0	199
2024.03.18	08:00:00	2152.099	2154.371	2150.119	2153.436	4951	0	199
2024.03.18	09:00:00	2153.459	2155.861	2153.272	2154.765	4266	0	199
2024.03.18	10:00:00	2154.765	2158.488	2154.535	2158.202	4083	0	199
2024.03.18	11:00:00	2158.150	2161.237	2158.144	2161.015	4615	0	199
2024.03.18	12:00:00	2160.974	2163.613	2158.227	2159.086	6558	0	199
2024.03.18	13:00:00	2159.034	2161.053	2155.489	2156.715	7343	0	199
2024.03.18	14:00:00	2156.748	2160.719	2156.634	2158.381	6164	0	199
2024.03.18	15:00:00	2158.350	2161.309	2156.918	2158.310	5296	0	199
2024.03.18	16:00:00	2158.343	2160.703	2154.580	2159.840	5111	0	199
2024.03.18	17:00:00	2159.851	2161.128	2158.013	2159.910	4519	0	199
2024.03.18	18:00:00	2159.909	2160.647	2159.099	2159.387	3490	0	199
2024.03.18	19:00:00	2159.441	2160.977	2159.338	2160.167	3047	0	199
2024.03.18	20:00:00	2160.153	2160.376	2159.386	2160.056	1631	0	199
2024.03.18	22:00:00	2160.108	2162.290	2159.582	2160.809	1590	0	599
2024.03.18	23:00:00	2160.810	2161.893	2160.381	2161.650	1739	0	200
2024.03.19	00:00:00	2162.053	2162.838	2160.476	2160.567	2997	0	199
2024.03.19	01:00:00	2160.560	2162.130	2158.588	2160.461	3644	0	199
2024.03.19	02:00:00	2160.459	2162.765	2159.938	2160.850	3379	0	199
2024.03.19	03:00:00	2160.849	2162.314	2159.784	2161.428	3819	0	199
2024.03.19	04:00:00	2161.414	2162.060	2159.512	2160.101	3032	0	199
2024.03.19	05:00:00	2160.116	2160.389	2157.068	2157.642	3674	0	199
2024.03.19	06:00:00	2157.683	2157.790	2153.940	2156.767	4803	0	199
2024.03.19	07:00:00	2156.746	2157.220	2154.128	2155.740	4509	0	199
2024.03.19	08:00:00	2155.778	2155.918	2147.154	2153.025	6838	0	199
2024.03.19	09:00:00	2153.007	2154.504	2151.565	2153.179	4708	0	199
2024.03.19	10:00:00	2153.182	2156.338	2152.433	2154.042	4774	0	199
2024.03.19	11:00:00	2154.055	2156.682	2153.681	2155.536	4388	0	199
2024.03.19	12:00:00	2155.485	2158.598	2150.744	2156.992	6944	0	199
2024.03.19	13:00:00	2156.943	2158.690	2150.350	2151.160	7402	0	199
2024.03.19	14:00:00	2151.213	2155.383	2148.364	2154.850	6586	0	199
2024.03.19	15:00:00	2154.839	2155.603	2150.627	2154.219	5128	0	199
2024.03.19	16:00:00	2154.256	2155.977	2153.094	2154.465	4568	0	199
2024.03.19	17:00:00	2154.457	2157.321	2154.226	2156.866	4456	0	199
2024.03.19	18:00:00	2156.849	2157.698	2155.456	2156.671	3337	0	199
2024.03.19	19:00:00	2156.724	2157.920	2156.198	2157.681	3123	0	200
2024.03.19	20:00:00	2157.728	2158.458	2157.258	2157.557	1761	0	200
2024.03.19	22:00:00	2157.657	2159.519	2157.149	2158.420	1097	0	599
2024.03.19	23:00:00	2158.420	2158.716	2156.982	2157.009	1919	0	199
2024.03.20	00:00:00	2157.054	2157.433	2155.176	2157.086	2486	0	199
2024.03.20	01:00:00	2157.128	2160.004	2156.548	2158.626	3387	0	199
2024.03.20	02:00:00	2158.614	2159.647	2157.145	2158.862	2854	0	199
2024.03.20	03:00:00	2158.829	2159.816	2158.366	2159.815	2291	0	199
2024.03.20	04:00:00	2159.848	2160.196	2156.830	2156.864	2760	0	199
2024.03.20	05:00:00	2156.865	2158.194	2156.493	2157.407	2767	0	199
2024.03.20	06:00:00	2157.363	2158.221	2156.350	2156.987	3129	0	199
2024.03.20	07:00:00	2157.044	2159.480	2156.806	2158.266	3767	0	199
2024.03.20	08:00:00	2158.224	2158.351	2154.424	2156.122	3986	0	199
2024.03.20	09:00:00	2156.132	2156.132	2153.039	2154.707	3773	0	199
2024.03.20	10:00:00	2154.716	2154.853	2152.296	2154.288	3956	0	199
2024.03.20	11:00:00	2154.287	2155.032	2152.264	2153.978	3893	0	199
2024.03.20	12:00:00	2154.024	2155.232	2149.512	2153.105	5320	0	199
2024.03.20	13:00:00	2153.150	2158.625	2150.464	2157.850	6798	0	199
2024.03.20	14:00:00	2157.919	2164.861	2155.623	2157.104	8562	0	199
2024.03.20	15:00:00	2157.054	2158.628	2154.634	2155.853	4849	0	199
2024.03.20	16:00:00	2155.863	2158.618	2155.456	2157.706	4379	0	199
2024.03.20	17:00:00	2157.715	2159.575	2156.585	2157.369	4230	0	199
2024.03.20	18:00:00	2157.285	2183.679	2157.285	2181.807	30992	0	199
2024.03.20	19:00:00	2181.850	2188.806	2178.431	2182.880	13446	0	199
2024.03.20	20:00:00	2182.832	2187.191	2182.781	2185.934	3612	0	199
2024.03.20	22:00:00	2186.401	2211.005	2186.285	2200.177	3277	0	899
2024.03.20	23:00:00	2200.169	2206.278	2196.366	2203.501	5650	0	200
2024.03.21	00:00:00	2203.971	2203.971	2192.369	2198.930	7413	0	199
2024.03.21	01:00:00	2198.885	2212.563	2197.845	2204.799	9128	0	199
2024.03.21	02:00:00	2204.751	2206.324	2202.638	2203.347	4732	0	199
2024.03.21	03:00:00	2203.315	2204.966	2201.692	2202.726	3400	0	199
2024.03.21	04:00:00	2202.754	2204.105	2201.775	2203.293	3047	0	200
2024.03.21	05:00:00	2203.286	2205.147	2201.805	2204.846	3708	0	199
2024.03.21	06:00:00	2204.821	2209.500	2204.274	2207.091	5024	0	199
2024.03.21	07:00:00	2207.118	2210.155	2206.395	2206.570	5806	0	199
2024.03.21	08:00:00	2206.507	2206.696	2196.775	2201.403	7854	0	199
2024.03.21	09:00:00	2201.465	2205.992	2199.720	2205.315	6125	0	199
2024.03.21	10:00:00	2205.315	2211.752	2205.132	2207.610	5952	0	199
2024.03.21	11:00:00	2207.581	2208.807	2205.380	2207.486	5069	0	199
2024.03.21	12:00:00	2207.429	2208.811	2203.204	2207.672	7520	0	199
2024.03.21	13:00:00	2207.705	2208.083	2191.608	2191.859	11422	0	199
2024.03.21	14:00:00	2191.778	2191.996	2175.540	2176.624	17523	0	199
2024.03.21	15:00:00	2176.670	2176.901	2166.296	2174.678	12390	0	199
2024.03.21	16:00:00	2174.706	2180.309	2172.951	2179.865	6558	0	199
2024.03.21	17:00:00	2179.855	2183.744	2178.520	2180.831	6074	0	199
2024.03.21	18:00:00	2180.901	2183.947	2180.412	2182.761	4177	0	199
2024.03.21	19:00:00	2182.815	2183.624	2180.285	2181.426	3536	0	199
2024.03.21	20:00:00	2181.477	2182.420	2180.489	2180.851	1997	0	199
2024.03.21	22:00:00	2180.840	2182.357	2180.381	2180.896	1433	0	599
2024.03.21	23:00:00	2180.892	2181.870	2180.813	2181.491	1911	0	200
